"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Type of Role","Type of Duty","Percentage of this ethnic group in this year in this role in this area (excluding where ethnicity is not known)","Total number of this ethnic group in this year in this role in this area"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","0.5","212"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","1.3","519"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","1.2","473"
"Fire and rescue service workforce ","White","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","96.5","38,061"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","0.4","174"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","N/A ","3,921"
"Fire and rescue service workforce ","All","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","N/A","43360"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 1","2011","Year","England","Fire control","All","0.3","5"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 1","2011","Year","England","Fire control","All","0.6","8"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 1","2011","Year","England","Fire control","All","1.2","17"
"Fire and rescue service workforce ","White","ONS 2001 5 + 1","2011","Year","England","Fire control","All","97.7","1,407"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 1","2011","Year","England","Fire control","All","0.2","3"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 1","2011","Year","England","Fire control","All","N/A ","116"
"Fire and rescue service workforce ","All","ONS 2001 5 + 1","2011","Year","England","Fire control","All","N/A","1556"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 1","2011","Year","England","Support Staff","All","2.6","224"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 1","2011","Year","England","Support Staff","All","2.5","215"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 1","2011","Year","England","Support Staff","All","0.9","82"
"Fire and rescue service workforce ","White","ONS 2001 5 + 1","2011","Year","England","Support Staff","All","93.3","8,143"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 1","2011","Year","England","Support Staff","All","0.7","60"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 1","2011","Year","England","Support Staff","All","N/A ","624"
"Fire and rescue service workforce ","All","ONS 2001 5 + 1","2011","Year","England","Support Staff","All","N/A","9348"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 1","2011","Year","England","All Staff","All","0.9","441"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 1","2011","Year","England","All Staff","All","1.5","742"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 1","2011","Year","England","All Staff","All","1.2","572"
"Fire and rescue service workforce ","White","ONS 2001 5 + 1","2011","Year","England","All Staff","All","96","47,611"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 1","2011","Year","England","All Staff","All","0.5","237"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 1","2011","Year","England","All Staff","All","N/A ","4,661"
"Fire and rescue service workforce ","All","ONS 2001 5 + 1","2011","Year","England","All Staff","All","N/A","54264"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 1","2012","Year","England","Firefighters","All","0.5","196"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 1","2012","Year","England","Firefighters","All","1.4","540"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 1","2012","Year","England","Firefighters","All","1.3","504"
"Fire and rescue service workforce ","White","ONS 2001 5 + 1","2012","Year","England","Firefighters","All","96.5","37,513"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 1","2012","Year","England","Firefighters","All","0.4","137"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 1","2012","Year","England","Firefighters","All","N/A","3,172"
"Fire and rescue service workforce ","All","ONS 2001 5 + 1","2012","Year","England","Firefighters","All","N/A","42062"
"Fire and rescue service workforce ","All","ONS 2001 5 + 1","2012","Year","England","Fire control","All","N/A","1442"
"Fire and rescue service workforce ","White ","ONS 2001 5 + 1","2012","Year","England","Fire control","All","97.6","1333"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 1","2012","Year","England","Fire control","All","1.2","17"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 1","2012","Year","England","Fire control","All","0.4","5"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 1","2012","Year","England","Fire control","All","0.5","7"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 1","2012","Year","England","Fire control","All","0.3","4"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 1","2012","Year","England","Fire control","All","N/A","76"
"Fire and rescue service workforce ","All","ONS 2001 5 + 1","2012","Year","England","Support Staff","All","N/A","8567"
"Fire and rescue service workforce ","White ","ONS 2001 5 + 1","2012","Year","England","Support Staff","All","93.1","7509"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 1","2012","Year","England","Support Staff","All","0.9","71"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 1","2012","Year","England","Support Staff","All","2.5","203"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 1","2012","Year","England","Support Staff","All","2.7","216"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 1","2012","Year","England","Support Staff","All","0.8","65"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 1","2012","Year","England","Support Staff","All","N/A","503"
"Fire and rescue service workforce ","All","ONS 2001 5 + 1","2012","Year","England","All Staff","All","N/A","52071"
"Fire and rescue service workforce ","White ","ONS 2001 5 + 1","2012","Year","England","All Staff","All","95.9","46355"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 1","2012","Year","England","All Staff","All","1.2","592"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 1","2012","Year","England","All Staff","All","0.8","404"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 1","2012","Year","England","All Staff","All","1.6","763"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 1","2012","Year","England","All Staff","All","0.4","206"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 1","2012","Year","England","All Staff","All","N/A","3751"
