"Measure","Ethnicity","Ethnicity_type","Year","Geographic_level","Country_code","Country_name","Headcount","Percentage"
"Ethnicity of children and family social workers","All","ONS 2001 16+1","2017-18","National","E92000001","England","31720","N/A"
"Ethnicity of children and family social workers","Total with known ethnicity","ONS 2001 16+1","2017-18","National","E92000001","England","26280","100"
"Ethnicity of children and family social workers","Asian","ONS 2001 16+1","2017-18","National","E92000001","England","1400","5.3"
"Ethnicity of children and family social workers","Bangladeshi","ONS 2001 16+1","2017-18","National","E92000001","England","150","0.6"
"Ethnicity of children and family social workers","Indian","ONS 2001 16+1","2017-18","National","E92000001","England","660","2.5"
"Ethnicity of children and family social workers","Pakistani","ONS 2001 16+1","2017-18","National","E92000001","England","380","1.4"
"Ethnicity of children and family social workers","Any Other Asian Background","ONS 2001 16+1","2017-18","National","E92000001","England","210","0.8"
"Ethnicity of children and family social workers","Black","ONS 2001 16+1","2017-18","National","E92000001","England","2920","11.1"
"Ethnicity of children and family social workers","Black African","ONS 2001 16+1","2017-18","National","E92000001","England","1270","4.8"
"Ethnicity of children and family social workers","Black Caribbean","ONS 2001 16+1","2017-18","National","E92000001","England","1140","4.4"
"Ethnicity of children and family social workers","Any Other Black Background","ONS 2001 16+1","2017-18","National","E92000001","England","500","1.9"
"Ethnicity of children and family social workers","Chinese and other","ONS 2001 16+1","2017-18","National","E92000001","England","310","1.2"
"Ethnicity of children and family social workers","Chinese","ONS 2001 16+1","2017-18","National","E92000001","England","40","0.1"
"Ethnicity of children and family social workers","Any Other Ethnic Group","ONS 2001 16+1","2017-18","National","E92000001","England","280","1.1"
"Ethnicity of children and family social workers","Mixed","ONS 2001 16+1","2017-18","National","E92000001","England","880","3.3"
"Ethnicity of children and family social workers","Mixed White/Asian","ONS 2001 16+1","2017-18","National","E92000001","England","150","0.6"
"Ethnicity of children and family social workers","Mixed White/Black African","ONS 2001 16+1","2017-18","National","E92000001","England","140","0.5"
"Ethnicity of children and family social workers","Mixed White/Black Caribbean","ONS 2001 16+1","2017-18","National","E92000001","England","340","1.3"
"Ethnicity of children and family social workers","Any Other Mixed Background","ONS 2001 16+1","2017-18","National","E92000001","England","250","0.9"
"Ethnicity of children and family social workers","White","ONS 2001 16+1","2017-18","National","E92000001","England","20770","79"
"Ethnicity of children and family social workers","White British","ONS 2001 16+1","2017-18","National","E92000001","England","18830","71.7"
"Ethnicity of children and family social workers","White Irish","ONS 2001 16+1","2017-18","National","E92000001","England","650","2.5"
"Ethnicity of children and family social workers","Any Other White Background","ONS 2001 16+1","2017-18","National","E92000001","England","1290","4.9"
"Ethnicity of children and family social workers","Unknown","ONS 2001 16+1","2017-18","National","E92000001","England","5450","N/A"
"Ethnicity of children and family social workers","All","ONS 2001 16+1","2016-17","National","E92000001","England","30670","N/A"
"Ethnicity of children and family social workers","Total with known ethnicity","ONS 2001 16+1","2016-17","National","E92000001","England","25190","100"
"Ethnicity of children and family social workers","Asian","ONS 2001 16+1","2016-17","National","E92000001","England","1300","5.2"
"Ethnicity of children and family social workers","Bangladeshi","ONS 2001 16+1","2016-17","National","E92000001","England","140","0.6"
"Ethnicity of children and family social workers","Indian","ONS 2001 16+1","2016-17","National","E92000001","England","660","2.6"
"Ethnicity of children and family social workers","Pakistani","ONS 2001 16+1","2016-17","National","E92000001","England","330","1.3"
"Ethnicity of children and family social workers","Any Other Asian Background","ONS 2001 16+1","2016-17","National","E92000001","England","170","0.7"
"Ethnicity of children and family social workers","Black","ONS 2001 16+1","2016-17","National","E92000001","England","2670","10.6"
"Ethnicity of children and family social workers","Black African","ONS 2001 16+1","2016-17","National","E92000001","England","1100","4.4"
"Ethnicity of children and family social workers","Black Caribbean","ONS 2001 16+1","2016-17","National","E92000001","England","1130","4.5"
"Ethnicity of children and family social workers","Any Other Black Background","ONS 2001 16+1","2016-17","National","E92000001","England","440","1.7"
"Ethnicity of children and family social workers","Chinese and other","ONS 2001 16+1","2016-17","National","E92000001","England","280","1.1"
"Ethnicity of children and family social workers","Chinese","ONS 2001 16+1","2016-17","National","E92000001","England","30","0.1"
"Ethnicity of children and family social workers","Any Other Ethnic Group","ONS 2001 16+1","2016-17","National","E92000001","England","250","1"
"Ethnicity of children and family social workers","Mixed","ONS 2001 16+1","2016-17","National","E92000001","England","790","3.1"
"Ethnicity of children and family social workers","Mixed White/Asian","ONS 2001 16+1","2016-17","National","E92000001","England","130","0.5"
"Ethnicity of children and family social workers","Mixed White/Black African","ONS 2001 16+1","2016-17","National","E92000001","England","140","0.6"
"Ethnicity of children and family social workers","Mixed White/Black Caribbean","ONS 2001 16+1","2016-17","National","E92000001","England","290","1.2"
"Ethnicity of children and family social workers","Any Other Mixed Background","ONS 2001 16+1","2016-17","National","E92000001","England","220","0.9"
"Ethnicity of children and family social workers","White","ONS 2001 16+1","2016-17","National","E92000001","England","20160","80"
"Ethnicity of children and family social workers","White British","ONS 2001 16+1","2016-17","National","E92000001","England","18420","73.1"
"Ethnicity of children and family social workers","White Irish","ONS 2001 16+1","2016-17","National","E92000001","England","390","1.6"
"Ethnicity of children and family social workers","Any Other White Background","ONS 2001 16+1","2016-17","National","E92000001","England","1350","5.3"
"Ethnicity of children and family social workers","Unknown","ONS 2001 16+1","2016-17","National","E92000001","England","5470","N/A"
